,content
168,"현대카드나 신한카드 설계사님 연락주세요.연회비
높은걸로 혜택좋은거 만들려고여.지금 국민bev v쓰는데
이거보다 혜택좋은걸루여.한달사용액천에서 천오백써여"
169,"신용카드 중에 현대카드 M3 가입하고 싶은데

설계사 통해서 하신 분들 중에 가입시 설계사가 주는 혜택 좋은분좀 알려주세요"
170,"이번에 티브로드 설치하면서, 

현대카드 m2 edition 티브로드 사용시 혜택이 크다고 해서 알아보고 있는데, 

이런 에디션 카드도 취급하시는 설계사님 계실까요? 


현대카드 사용하지 않고 있고 매월 40만원 이상 사용 예정입니다. "
171,"현대카드 제로 할인형 2장을 발급하려고 합니다.

1명은 직장인(과/차장급)이고
1명은 개인사업자입니다.

둘다 다른 신용카드들은 있지만 현대카드는 처음 발급입니다.

쪽지나 답변주세요."
172,"현대카드 레드 설계사분 찾습니다.
사원증이 자동으로 현대카드인데, 설계사분 통해서 혜택 받을수 있나요?
가능하신분 답변 주세요."
173,"현재 대학생입니다.

약 2년간 편의점 아르바이트 중입니다 (주말알바)

아르바이트 4대보험 안되있으며 월급여는 50~60만원 수준입니다.

방학중에는 평일알바로 전환하여 1~3월 급여 150만원 , 4~7월급여 5~60만원,
   8~9월급여 150만원 등 급여가 일정하지 않습니다

신용등급은 토스에서 4등급으로 표시됩니다. 대출은 없습니다.

발급 가능할까요?"
174,대구 현대카드 설계사 분들계시면 연락 좀 주세요~!
175,"현대카드 레드, 아직 설계사 통해서 발급 가능한가요?
가능하다면 발급조건이 어떻게되나요?
그리고 연회비 지원 가능하신 설계사분 있으신가요?"
176,"식당 운영중인 20대 후반 입니다
부산하단 이며, 방문설계 가능하신분 찾습니다.
지원도 가능하신분 원합니다.
개인사업자 이며, 년매출 10억대입니다.
한달 카드사용량은  400~700 만원 선입니다."
177,"현대카드 현금지원되나염

얼마까지되는지알고싶어용"
178,"1. 현대카드 하나은행 연계 체크카드 만들어 놓고 거의 사용안하다가 최근 유효기간 만료로 해지됨
2. 4대보험 가입 / 직장인 3개월차
3. 한달 사용금액 50~100

M2 visa 발급 도와주세요~"
179,"현대카드 설계사님 연락 바랍니다.
조건...

제가 하이패스카드 현대카드로 사용중인데,
설계사님 개설지원조건 가능한지궁금합니다."
180,"현대. 씨티. 하나. SC 카드 중 pp카드 발급되는 카드 만들려고 합니다.
연회비 지원 가능한 카드 설계 부탁드립니다~
쪽지로 발급 가능 카드와 혜택 정리해서 주시면
연락드리겠습니다^^
(꼭 pp카드가 있어야 하고 위에 있는 카드 외에 다른 신용카드는 모두 있습니다ㅠㅠ(롯데.삼성.국민 등등)"
181,"현대카드 사용 할려고 합니다.
주로 코스트코, 주유, 할인마트,극장등  이며,  될수 있으면 청구 할인이 가능한
카드로 추천 부탁 드립니다."
182,"현대카드혜택좋은설계사분소개부탁드려요
레드 발급원합니다
비공개댓글로 혜택부탁드려요"
183,"지원금 많이 주시는 분으로 찾아요.
50만원 이상 쓸 거구요.
바로 연락가능하신 분들 답변만 기다리겠습니다. 네이버 폼은 작성해도 연락이 없으시더라구요;"
184,"현대카드 발급받으려고 합니다.
연회비 높은 프리미엄 카드도 지원이 되나요?"
185,"현대카드 국민카드 설계사님 찾아요

어떤카드 몇달동안
한달에얼마이용하면 지원금얼마나오는지답주세여 4대보험들어있어여 만26세구요
전화는힘들고 연락처남기면 문자드릴게요"
186,"제목그대로 zero 만들꺼구요

연락해보고 조건좋은분께 바로 만드려고 합니다

지역은 부산입니다"
187,"문의 드려도 답변 느린 분들 말고 빠른 진행 해주실 분 찾습니다. 신규 회원이고 월에 50 이상 사용 가능하구요
m카드 발급 생각하고 있습니다~"
188,"현대카드 설계사분 계신가요?
혜택 이나 많이챙겨주실수잇는분들 댓글주세오"
189,현대카드 제로나 연회비 작은걸루 발급받으려는데 혜택좀 알려주세요
190,"현대카드 설계사분 찾습니다.

현대카드 레드카드 발급하고 싶습니다~

가이드를 받고싶습니다~"
191,어머니 현대카드를 만들어드리려고 하는데요 코스트코이용시 주로 사용할듯 하고 월 30-40은 사용하실꺼같아요. 연회비 적고 지원혜택 잘 설계해주시는 설계사님 상담하고 싶어요 혹시 아시아나 마일리지 적립되는 카드있음 같이 추천해주세요
192,"대구 현대카드설계사분 연락주세요

아무래도 설계사분한테하는게좋을거같아서요 직접만나뵙고신청하고싶네요

카톡아이디부탁드립니다"
193,제로 발급 원합니다.
194,현대카드 만드려는데 설계사분 쪽지나 답변주세요
195,지원빵빵한 현대카드 설계사 분 찾습니다.
196,"                                                  신용카드 발급 받으려고 합니다.(지방)
 현대카드 ZERO 할인형 발급 할려구 하구요, 지원금이나 혜택 관련 잘 해주실수 있는 분 쪽지주시거나 댓글 달아주시면 고맙겠습니다.
 지원금 얼마가능한지 여부알려주시면 감사하겠습니다
_________________________________________________________________
신용카드 발급 기준에 부합한다고 생각됩니다.

* 신용등급 최소 6등급 이상
* 직장인일 경우 소득 확인 및 재직 확인 : 전남 목포(직장)
* 각종 연체 : 없음 /  과다 대출(카드론, 현금서비스도 포함)은 부결 사유 : 신용대출 1개"
197,"현대카드제로 만들고싶은데 아는 설계사분도없고 발급하는법알려주시고요, 제조건에서도 발급가능한지 궁금합니다
.직장있고요,사대보험은 없지만 일한지 1년넘었습니다. 급여는 월200정도 벌고요
쪽지주세요"
198,"이번에 코스트코때문에 현대카드 만드려고 하는데
혹시 현대카드 설계사분 혜택있으면 연락주실수 있나요?"
199,"현대카드 제로 설계사님 통해발급시 혜택이 있는지 확인바랍니다
다른카드들은 거의 50만원 실적이라 다른카드와 같이 사용되어 어려워 제로카드 발급하려고 합니다"
200,"카드 발급할려고 합니다
현대카드 설계사님쪽지 주세요
쪽지 주실때 전화번호 주시면 바로 연락드립니다

참고로 전... 설계사님 해택 받고 싶어요"
201,"현대카드 필요해서 만들려고 합니다. 주위에서 현대카드 설계사 통하면 혜택이 좋다고 하더라구요~ 
현대카드 설계사 추천도 부탁드려요!!(쪽지 주세요)"
202,"현대카드 제로 할인형 발급받고싶은데
지원혜택 잘 해주실 설계사님 찾아요
지역은 부산입니다."
203,"2018.07.03에 해지, 현재 신규가능한가요?

월사용금액 낮은걸로 보고있습니다 (30만-50만)

지원금 많은 설계사분 찾고있습니다ㅎㅎ"
204,"회사원이고, 연봉6천정도, 월100정도 사용합니다.
쪽지부탁드립니다."
205,"현대카드 설계사 추천 부탁드려요~

m2카드나 m3카드 발급 하려고 하는데 현대카드 설계사 통하여 상담 후 발급받고자 합니다.
빠른 상담후 발급 가능하신 현대카드 설계사분께 상담 원합니다."
206,"현대카드설계사분들
엠3쓰리 연회비면제 가능하신분
계신가요"
207,"현대카드 설계사님 소개해주세요~

현대카드 만들려는데 혜택 좋은 설계사님 추천해주세요~
롯마에 항상 계시던 설계사님도 막상필요하니 안보이시네요. ㅠ

M2카드 원합니다."
208,"삼성카드 현대카드 발급받을려고하는데 추천좀 부탁드립니다.

혜택 및 카드 종류 및 한도정해서 발급할려고합니다."
209,#현대카드 #레드카드 신규 발급 받으려고 하는데 혜택 많이 주시는 설계사님 계시면 쪽지 부탁 드립니다.
210,"현대카드 설계사분들중 혜택 많이 주실수있는분 찾고있습니다~
현대카드 m2 edition 후불하이패스까지 같이 신청할려고합니다!"
211,"온라인말고 설계사분한테 카드 신청하면 혜택이 더 좋다던데

어디서 할지를 몰라서요

30대 직장인이구요

아산 음봉면인데 방문 가능하신분이나 방문해서 카드 만들곳 있을까요?"
212,혜택 많이 주실분~ 신규가입 입니다.
213,"월 100 정도 쓰는 것 같아요
지역은 부산이구요
지원 많이 해주시는 설계사님 있음 추천 부탁드려요"
214,"현대카드 발급하려고해요~
현대카드 설계사 추천해주세요. 설계사를 통해해야 혜택이 많은거 같아서요

기존 현대카드 사용하고 있습니다.
월 500이상 쓰고있으며,

프리미엄 라인인 퍼플이나 레드 발급 가능할까요?

사업자카드, M3, 유니온페이 만들려고 합니다."
215,"다른카드는  다있고 현대카드 발급하려고하는데 
사은품 많이주시는 설계사님 쪽지로 폰번호 남겨주세요~~~"
216,"안녕하세요,

현재 우리카드 카드의 정석 사용중인데 체크+신용 하이브리드 카드라 사용이 불편해서,
현대카드 발급 받으려고합니다.


기본적으로 아래 항목들을 새로 발급받을 현대카드로 사용하고자 합니다. 

*통신비(KT)
*교통비(자차 없음)
*공과금
*각종 자동이체

위 항목들을 제외하고는 주로 쇼핑, 외식 등에 사용 예정입니다.


현대카드 제로, 현대카드 M 등 추천 남겨주시면 연락드리겠습니다."
217,"현대카드에서 예외심사로 접수가능하다고해서
필요한서류보냇는데 아직접수 상태네요.
이런경우 얼마나 걸릴까요?
답변부탁드릴께요"
218,현대카드 혜택 많은 설계사분 모셔요~~=
219,"안녕하세요 남자친구랑 저랑 현대카드를 같이 만들려고 하는데요
두명이 같이 하는 만큼 혜택 많이 주실 설계사님 찾아요

저는 이미 삼성카드 탭탭오를 사용중인데.. 카드 한 개만 사용하자니 사용금액에 비해 받는 혜택이 적어서요~ 


현대 말고도 괜찮은 혜택 있으면 추천해주세요"
220,"현대카드 만들려고 하는데 설계사님 문자 많이 주셔요
월 사용 70~80만원 될것 같네요
지원 많이 해주실 설계사님 연락바랍니다"
221,"LGU+ 현대카드 M Edition 3 신규 카드 발급하려합니다
연회비 지원 및 신규 카드 발급 가능 설계사님 추천부탁드립니다. 예전에 레드카드 3년정도 쓰다 한동안 안쓰다가
통신비 및 코스트코 사용하려 만들려고합니다
사용금액은 할인구간 보고 정하려합니다"
222,"제목에 대해 답변부탁드립니다.
아니면 승인률만 달라지는건가용?ㅎㅎㅎ
이외에 덧붙여서 내용좀 답글 부탁드립니다."
223,"현대카드 더레드 에디션3 설계사 분 구해요~
발급조건 및 혜택 기입 부탁드립니다~"
224,현대카드 발급시 현금지원해주시는 설계사님 쪽지부탁합니다.
225,현대 레드카드 발급 받으려고 합니다. 혜택 많이 주실 설계사분 연락 부탁드립니다
226,"현대카드 레드 설계사분 추천부탁드려요~
쪽지로 연락주세요!"
227,사무실 방문 혹은 대형마트에서 카드 발급 권유에 따른 혜택만큼 주실 설계사님 계시면 쪽지 연락주세요.
228,"회사 자본금 80억 (광화문- 금융권)
연봉 4000
건보료 97700원 (10만원이 안되네요...)
미혼, 자가 없음
오피스텔 전세 대출없이 1.5억"
229,"인천 부평,부개 현대카드 설계사님 찾습니다
대중교통할인, 통신비할인, 등등 저한테 맞는 혜택좋은현대카드만들고싶어욥"
230,현대카드 설계사님 찾습니다!
231,"카드는 이미 정했어요~

코스트코카드 만들려고 하는데 지원금 주실 수 있는 설계사분 답변 달아주시면 제가 연락할게요

오늘까지입니다."
232,"고용보험에 일용직으로 가입되어있는데, 발급가능할까요??

신카는 처음이고, 대출같은건 받아본 적 없습니다. 따라서 연체된 경험도 없습니다."
233,"현재 블리스7 사용중이며 프리미엄카드 발급해주실 현대카드설계사님을 찾고있습니다!! 
현대레드카드 발급받고싶습니다."
234,혹시 현대카드 퍼플 설계사이신가요
235,레드카드 발급받고싶습니다
